Provincias,Escolas,Agua(Não),Agua(Sim),Energia(Não),Energia(Sim),CasaBanhoFuncional(Não),CasaBanhoFuncional(Sim)
Manica,874,307,567,676,198,658,216
Niassa,941,727,214,831,110,727,214
Cabo Delgado,922,742,180,735,187,916,6
Zambézia,3257,2370,887,3016,241,1719,1538
Tete,1129,751,378,1005,124,723,406
Inhambane,920,365,555,650,270,898,22
Gaza,801,324,477,583,218,419,382
Maputo,513,177,336,283,230,292,221
Maputo Cidade,235,2,233,2,233,7,228
Nampula,2334,1640,694,1935,399,1186,1148
Sofala,988,448,540,802,186,740,248
Total,12914,7853,5061,10518,2396,8285,4629
