Provincia,Distrito,NomeEscola,Agua,TipoFonte,QualidadeAgua,Energia,TipoEnergia,CasaBanho,TotalCasaBanho,CasaBanhoFuncional,Longitude,Latitude
Manica,Vanduzi,Escola Primário do 1º Grau 4 de Outubro,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,33.23836111111111,-19.212527777777776
Niassa,Chimbunila,Escola Primária de Naicuainha,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,35.200138888888894,-13.476166666666666
Niassa,Chimbunila,Escola Primária de Lipapa,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,35.54036111111111,-13.435
Niassa,Chimbunila,Escola Primária de Icuvi,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,35.79247222222222,-13.337916666666668
Niassa,Chimbunila,Escola Primária de Mbbau,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,35.69026944444444,-13.315155555555556
Niassa,Chimbunila,Escola Primária de Lussalala,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,35.25865,-13.589761111111113
Niassa,Chimbunila,Escola Primária de Ndolela,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,35.13169444444444,-13.687666666666669
Niassa,Chimbunila,Escola Primária de Chinenge,Sim,Poço,Não Potável,Não,Nenhum,Não,0,Não,35.25277777777778,-13.548972222222222
Niassa,Chimbunila,Escola Primária de Naconda,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,34.983222222222224,-13.549722222222222
Niassa,Chimbunila,Escola Primária O.U.A.,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,35.79247222222222,-13.337916666666668
Niassa,Chimbunila,Escola Primária de Mapaco,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,35.69026944444444,-13.315155555555556
Niassa,Chimbunila,Escola Primária de Luambala,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,35.269333333333336,-13.71411111111111
Niassa,Chimbunila,Escola Primária de Naicuanga,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,35.625527777777776,-13.350861111111112
Niassa,Chimbunila,Escola Primária de Nancuenha (Ex.Cassumar),Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,34.983222222222224,-13.549722222222222
Niassa,Chimbunila,Escola Primária de Machomera (Ex.Matama Bloco 1),Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,35.42633333333333,-13.357083333333334
Niassa,Chimbunila,Escola Primária de Metonia,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,35.37383333333334,-13.350027777777775
Niassa,Chimbunila,Escola Primária de Mutukura II,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,35.45011111111111,-13.317972222222222
Niassa,Chimbunila,Escola Primaria de Mpombe,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,35.490944444444445,-13.24972222222222
Niassa,Chimbunila,Escola Primária de Nacavale,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,35.510083333333334,-13.605277777777776
Niassa,Chimbunila,Escola S. Armando Guebuza,Sim,Poço,Potável,Sim,Rede Pública,Sim,3,Não,35.33211111111112,-13.419444444444444
Niassa,Chimbunila,Escola Primária de Cachule,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Não,35.38063888888889,-13.43625
