Provincia,Distrito,Posto,Localidade,Povoado,Cod__Escola,NomeEsco_1,ZIP,Agua,TipoFonte,QualiAgua,Energia,TipoEnergi,Latrina,TotalLatri,Estado_de_Conservação3,Urinois,TotalUrino,UrinoisFun,Estado_de_Conservação4,CasaBanho,TotalCB,CBFunci,Longitude,Latitude
Manica,Vanduzi,Vanduzi,Chigodole,Nhassoro,04-0348,Escola Primário do 1º Grau 4 de Outubro,Chigodole,Não,Sim,Nenhuma,Não,sim,Sim,2.0,Razoável,Não,0.0,Não,Nenhum,Não,0,Nenhuma,33.23836111111111,-19.212527777777776
Niassa,Chimbunila,Lione,Naicuanha,Naicuanha,70674,Escola Primária de Naicuainha,EPC de Undi,Não,Sim,Nenhuma,Não,sim,Sim,2.0,Bom,Não,0.0,Não,Nenhum,Não,0,Não,35.200138888888894,-13.476166666666666
Niassa,Chimbunila,Chimbunila,Lipapa,Lipapa,70684,Escola Primária de Lipapa,EPC de Namuanga,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,35.54036111111111,-13.435
Niassa,Chimbunila,Chimbunila,Icuvi,Icuvi,70685,Escola Primária de Icuvi,EPC de Undi,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,35.79247222222222,-13.337916666666667
Niassa,Chimbunila,Chimbunila,Mbau,Mbau,70686,Escola Primária de Mbbau,EPC de Undi,Não,Sim,Nenhuma,Não,sim,Sim,2.0,Bom,Não,0.0,Não,Nenhum,Não,0,Não,35.69026944444444,-13.315155555555556
Niassa,Chimbunila,Chimbunila,Lussalala,Lussalala,70688,Escola Primária de Lussalala,EPC de Undi,Não,Sim,Nenhuma,Não,sim,Sim,2.0,Bom,Não,0.0,Não,Nenhum,Não,0,Não,35.25865,-13.589761111111113
Niassa,Chimbunila,Lione,Ndolela,Ndolela,70693,Escola Primária de Ndolela,EPC Lucheringo ,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,35.13169444444444,-13.687666666666667
Niassa,Chimbunila,Lione,Chinenge,Chinenge,70694,Escola Primária de Chinenge,EPC de Undi,Sim,Poço,Não Potável,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,35.25277777777778,-13.548972222222222
Niassa,Chimbunila,Chimbunila,Naconda,Naconda,70697,Escola Primária de Naconda,EPC de Chinenge,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,34.983222222222224,-13.549722222222222
Niassa,Chimbunila,Chimbunila,Macassangilo,Macassangilo,70704,Escola Primária O.U.A.,EPC de Undi,Não,Sim,Nenhuma,Não,sim,Sim,2.0,Razoável,Não,0.0,Não,Nenhum,Não,0,Não,35.79247222222222,-13.337916666666667
Niassa,Chimbunila,Chimbunila,Mapaco,Mapaco,70705,Escola Primária de Mapaco,EPC de Lione,Não,Sim,Nenhuma,Não,sim,Sim,4.0,Razoável,Não,0.0,Não,Nenhum,Não,0,Não,35.69026944444444,-13.315155555555556
Niassa,Chimbunila,Chimbunila,Luambala,Luambala,70709,Escola Primária de Luambala,EPC de Ndolela,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,35.269333333333336,-13.71411111111111
Niassa,Chimbunila,Chimbunila,Naicuanga,EPC de Naicuanga,70713,Escola Primária de Naicuanga,EPC de Matipa,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,35.625527777777776,-13.350861111111112
Niassa,Chimbunila,Chimbunila,Cassumar,Cassumar,70716,Escola Primária de Nancuenha (Ex.Cassumar),EPC de Colongo,Não,Sim,Nenhuma,Não,sim,Sim,2.0,Bom,Não,0.0,Não,Nenhum,Não,0,Não,34.983222222222224,-13.549722222222222
Niassa,Chimbunila,Chimbunila,Naicuanha,Naicuanha,70717,Escola Primária de Machomera (Ex.Matama Bloco 1),EPC de Mussa,Não,Sim,Nenhuma,Não,sim,Sim,2.0,Razoável,Não,0.0,Não,Nenhum,Não,0,Não,35.42633333333333,-13.357083333333334
Niassa,Chimbunila,Lione,Metonia,Metonia,70724,Escola Primária de Metonia,EPC de Macassangilo,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,35.37383333333334,-13.350027777777777
Niassa,Chimbunila,Lione,Mutukura II,Mutukura II,70732,Escola Primária de Mutukura II,EPC de Mapaco,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,35.45011111111111,-13.317972222222222
Niassa,Chimbunila,Lione,Mpombe,Mpombe,70987,Escola Primaria de Mpombe,EPC de Mapaco,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,35.490944444444445,-13.249722222222221
Niassa,Chimbunila,Chimbunila,Nacavale,Nacavale,71099,Escola Primária de Nacavale,Chala,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,35.510083333333334,-13.605277777777777
Niassa,Chimbunila,Chimbunila,Undi,Undi,71170,Escola S. Armando Guebuza,Chala,Sim,Poço,Potável,Sim,Rede Pública,Sim,4.0,Razoável,Não,0.0,Não,Nenhum,Sim,3,Não,35.33211111111112,-13.419444444444444
Niassa,Chimbunila,Chimbunila,Cachule,Cachule,71238,Escola Primária de Cachule,EPC de Cassumar,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,35.38063888888889,-13.43625
Niassa,Chimbunila,Lione,Cungombo,Cungombo,71281, Escola Primária de Cungombo,EPC Naicuanha,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,35.42366666666666,-13.278777777777778
Niassa,Muembe,Muembe,Nzizi,Matitima,70732,Escola Primaria Completa de  Matitima,EPC de Naconda,Sim,Rede pública,Potável,Não,sim,Sim,6.0,Bom,Não,0.0,Não,Nenhum,Sim,6,Sim,35.49180555555556,-12.994638888888888
Niassa,Muembe,Muembe,Lutuesase,Lucheta,71098,Escola Primaria Completa de  Lucheta,EPC de Colongo,Não,Sim,Nenhuma,Não,sim,Sim,2.0,Razoável,Não,0.0,Não,Nenhum,Sim,2,Sim,35.43530555555555,-13.157388888888889
Niassa,Muembe,Muembe,Nzizi,Lussenjewe,71170,Escola Primaria Completa de  Lussejewe,EPC Muembe,Sim,Rede pública,Potável,Não,sim,Sim,4.0,Razoável,Não,0.0,Não,Nenhum,Sim,4,Sim,35.38063888888889,-13.43625
Niassa,Muembe,Ligogolo,Chiuanjota,Sienene,71171,Escola Primaria do 1º Grau de Sienene,EPC Chiuanjota,Não,Sim,Nenhuma,Não,sim,Sim,2.0,Razoável,Não,0.0,Não,Nenhum,Sim,2,Sim,35.75813888888889,-12.988277777777776
Niassa,Muembe,Ligogolo,Chiuanjota,Ndite,71147,Escola Primaria do 1º Grau de Nditi,EPC Longolela,Não,Sim,Nenhuma,Não,sim,Sim,4.0,Bom,Não,0.0,Não,Nenhum,Sim,4,Sim,35.86363888888889,-12.819388888888888
Niassa,Muembe,Muembe,Lutuesase,Licuvi,71148,Escola Primaria do 1º Grau de Licuvi,EPC chiumbe,Sim,Rede pública,Potável,Não,sim,Sim,4.0,Mau,Não,0.0,Não,Nenhum,Sim,4,Sim,35.58861111111111,-13.187055555555556
Niassa,Muembe,Ligogolo,Chiuanjota,Longolela,71149,Escola Primaria do 1º Grau de Longolela,EPC Nzize,Sim,Rede pública,Potável,Não,sim,Sim,4.0,Razoável,Não,0.0,Não,Nenhum,Sim,4,Sim,35.81813888888889,-12.890694444444444
Niassa,Muembe,Muembe,Nzizi,Butiama,71373,Escola Primaria do 1º Grau de Butiama,EPC Chiuanjota,Sim,Rede pública,Potável,Não,sim,Sim,3.0,Razoável,Não,0.0,Não,Nenhum,Sim,3,Sim,35.76027777777778,-12.894388888888889
Niassa,Muembe,Ligogolo,Chiuanjota,Chiuanjota,71463,Escola Primaria do 1º Grau de Ntamila,EPC Longolela,Sim,Furo com bomba,Potável,Não,sim,Sim,2.0,Razoável,Não,0.0,Não,Nenhum,Sim,2,Sim,35.75630555555556,-12.95261111111111
Niassa,Muembe,Muembe,Lutuesase,Luguezi,71538,Escola Primaria do 1º Grau  de Luguezi,EPC chiumbe,Sim,Furo com bomba,Potável,Não,sim,Sim,2.0,Mau,Não,0.0,Não,Nenhum,Sim,2,Sim,35.61663888888889,-13.086111111111112
Niassa,Mecula,Gomba,Mecula-Sede,Cuchiranga,70298,Escola Primária de Cuchiranga,EPC Chitalo,Sim,Furo com bomba,Potável,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,35.5616666666667,-12.1469444444444
Niassa,Mecula,Gomba,Mecula-Sede,Nnalama,70299,Escola Primária de Nnalama,EPC Butiama,Sim,Furo com bomba,Potável,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,37.90761,-11.833889
Niassa,Mecula,Gomba,Lugenda,Nahavara,70301,Escola Primária de Nahavara,EPC de Chamba,Sim,Furo com bomba,Potável,Não,sim,Sim,4.0,Bom,Não,0.0,Não,Nenhum,Não,0,Não,37.65922,-12.60925
Niassa,Mecula,Gomba,Mecula-Sede,Macalange,70302,Escola Primária Acordos de Lusaka - Macalange,EPC 7 de Abril ,Sim,Furo com bomba,Potável,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,37.76483,-12.007556
Niassa,Mecula,Gomba,Mecula-Sede,Mecula-Sede,70306,Escola Primária 5º Congresso,EPC de Naulala I,Sim,Furo com bomba,Potável,Não,sim,Sim,4.0,Bom,Não,0.0,Não,Nenhum,Não,0,Não,37.67067,-12.127389
Niassa,Mecula,Gomba,Mecula-Sede,Nampequesso,70308,Escola Primária de Nampequesso,EPC de Gomba,Sim,Furo com bomba,Potável,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,37.69167,-12.18575
Niassa,Mecula,Gomba,Mecula-Sede,Mecula-Sede,70310,Escola Primária de Mtimbo,EPC de Mitope,Sim,Furo com bomba,Potável,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,37.66064,-12.274
Niassa,Mecula,Gomba,Lugenda,Lugenda,70312,Escola Primária de Mucoria,EPC de Matondovela,Sim,Furo com bomba,Potável,Não,sim,Sim,4.0,Bom,Não,0.0,Não,Nenhum,Não,0,Não,37.68564,-12.668444
Niassa,Mecula,Gomba,Lugenda,Lissongole,70314,Escola Primária de Lissongole,EPC  de Ntimbo II,Sim,Poço,Potável,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,37.65533,-12.344722
Niassa,Mecula,Gomba,Mecula-Sede,Mecula-Sede,70316,Escola Primária de Junta,EPC  de Lugenda,Não,Sim,Nenhuma,Não,sim,Sim,4.0,Bom,Não,0.0,Não,Nenhum,Não,0,Não,37.67464,-12.139817
Niassa,Mecula,Gomba,Mecula-Sede,Alassima,70319,Escola Primária de Alassima,EPC  de Lugenda,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,37.71158,-12.13925
Niassa,Mecula,Gomba,Lugenda,Manhur,70327,Escola Primária de Manhur,EPC Ndite,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,37.70906,-12.422389
Niassa,Mecula,Gomba,Lugenda,Mpamanda,70330,Escola Primária de Mpamanda,EPC Longolela,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,37.62831,-12.450611
Niassa,Mecula,Matondovela,Chamba,Chamba,70331,Escola Primária de Chamba,EPC chiumbe,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,36.93064,-11.606778
Niassa,Mecula,Gomba,Naulala,Naulala-I,71188,Escola Primária de Naulala I,EPC Chitalo,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,38.05758,-11.758306
Niassa,Mecula,Gomba,Mecula-Sede,Gomba,70334,Escola Primária de Gomba,EPC Butiama,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,38.30233,-11.339472
Niassa,Mecula,Gomba,Naulala,Naulala-II,70336,Escola Primária de Naulala II,EPC Chiuanjota,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,38.030664,-11.792611
Niassa,Mecula,Matondovela,Matondovela,Matondovela,70337,Escola Primária de Matondovela,EPC Licuvi,Não,Sim,Nenhuma,Não,sim,Sim,2.0,Bom,Não,0.0,Não,Nenhum,Não,0,Não,37.01628,-12.074306
Niassa,Mecula,Gomba,Lugenda,Ansanja,70338,Escola Primária de Ansanja,EPC Longolela,Não,Sim,Nenhuma,Não,sim,Sim,4.0,Bom,Não,0.0,Não,Nenhum,Não,0,Não,37.65403,-12.562319
Niassa,Mecula,Gomba,Mecula-Sede,Ntimbo-II,70339,Escola Primária de Ntimbo II,EPC Longolela,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,37.66748,-12.230322
Niassa,Mecula,Gomba,Mecula-Sede,Guebuza,70347,Escola Primaria Armando Emilio Guebuza,EPC Licuvi,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,37.76902,-12.004403
Niassa,Lago,Cobue,Ngoo,Lissenguesse,70353,Escola Primária de Ncodesse,EPC-Lissenguesse,Não,Sim,Nenhuma,Não,sim,Sim,2.0,Bom,Não,0.0,Não,Nenhum,Não,0,Não,34.876853,-12.1901
Niassa,Lago,Cobue,Ngoo,Limbue,70354,Escola Primária de Limbue,EPC-Ngoo,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,34.709556,-12.374442
Niassa,Lago,Cobue,Lupilichi,Litombochi,70355,Escola Primária de Lijombo,EPC-Lupilichi,Não,Sim,Nenhuma,Não,sim,Sim,3.0,Razoável,Não,0.0,Não,Nenhum,Não,0,Não,35.063594,-11.945833
Niassa,Lago,Cobue,Cobue,Mataca,70356,Escola Primária de Msomba,EPC-Cobue ,Não,Sim,Nenhuma,Não,sim,Sim,2.0,Razoável,Não,0.0,Não,Nenhum,Não,0,Não,34.836308333333335,-12.080761
Niassa,Lago,Cobue,Ngofi,Ntimbe,70357,Escola Primária de Mtimbe,EPC-Ntumba ,Não,Sim,Nenhuma,Não,sim,Sim,2.0,Razoável,Não,0.0,Não,Nenhum,Não,0,Não,34.89899444444444,-12.01086
Niassa,Lago,Metangula,Metangula,Sanjala,70359,Escola Primária de Sanjala,EPC-Metangula,Não,Sim,Nenhuma,Não,sim,Sim,2.0,Bom,Não,0.0,Não,Nenhum,Não,0,Não,34.80759444444444,-12.700644
Niassa,Lago,Maniamba,bandece,Mpacache,70361,Escola Primária de Mpacache,EPC-Maniamba,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,35.01744722222222,-12.778258
Niassa,Lago,Lunho,Messumba,Nchiji,70362,Escola Primária de Nchiji,EPC-Chia ,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,34.75801944444444,-12.552994444444446
Niassa,Lago,Cobue,Cobue,ponta Mala,70363,Escola Primária da Ponta Mala,EPC-Cobue ,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,34.703877777777784,-12.193622222222222
Niassa,Lago,Cobue,Ngoo,Mbueca,70365,Escola Primária de Mbueca,EPC-Lissenguesse,Não,Sim,Nenhuma,Não,sim,Sim,3.0,Razoável,Não,0.0,Não,Nenhum,Não,0,Não,34.72654444444445,-12.262866666666667
Niassa,Lago,Cobue,Wikihi,Lihuchi,70368,Escola Primária de Lihuchi,EPC-Wiquihi,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,34.96347222222222,-11.713277777777778
Niassa,Lago,Cobue,Ngofi,Lumbaulo,70374,Escola Primária de Lumbaulo,EPC-Ntumba ,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,34.928552777777774,-11.876222222222223
Niassa,Lago,Cobue,Wikihi,Ngombe,70297,Escola Primária de Ngombe,EPC-Wiquihi,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,34.951638888888894,-11.735638888888888
Niassa,Lago,Cobue,Wikihi,Chiwindi,70980,Escola Primária de Chiuindi,EPC-Wiquihi,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,34.96644444444445,-11.576555555555556
Niassa,Lago,Cobue,Wikihi,Ungui,71157,Escola Primária de Ungui,EPC-Wiquihi,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,34.96617222222223,-11.657061111111112
Niassa,Lago,Cobue,Lupilichi,Lutombochi,71189,Escola Primária de Lutombochi,EPC-Lupilichi,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,35.29862222222222,-11.63241388888889
Niassa,Lago,Maniamba,Bandece,Chinhanganhanga,71215,Escola Primária de Chinhanganhanga,EPC-Liziunga,Não,Sim,Nenhuma,Não,sim,Não,0.0,Nenhum,Não,0.0,Não,Nenhum,Não,0,Não,34.95269444444445,-12.95636111111111
Niassa,Lago,Cobue,Ngofi,Uchesse,71216,Escola Primária de Uchessi,EPC-Ngofi,Não,Sim,Nenhuma,Não,sim,Sim,3.0,Razoável,Não,0.0,Não,Nenhum,Não,0,Não,34.87164444444444,-12.064761111111112
